date,state,total_admissions_all_covid_confirmed,mmwr_date,level,percent_pos,count_pos,posted,percent_visits_covid,avg_detect_prop_weighted_2_raw wastewater,avg_detect_prop_weighted_3_raw wastewater,avg_detect_prop_weighted_454_raw wastewater,avg_detect_prop_weighted_455_raw wastewater,avg_detect_prop_weighted_456_raw wastewater,avg_detect_prop_weighted_457_raw wastewater,avg_detect_prop_weighted_458_raw wastewater,avg_detect_prop_weighted_459_raw wastewater,avg_detect_prop_weighted_497_raw wastewater,avg_detect_prop_weighted_721_raw wastewater,avg_detect_prop_weighted_728_raw wastewater,avg_detect_prop_weighted_85_raw wastewater,avg_detect_prop_weighted_post grit removal,avg_detect_prop_weighted_primary effluent,avg_detect_prop_weighted_primary sludge,avg_detect_prop_weighted_raw wastewater,avg_detect_prop_weighted_secondary effluent,avg_detect_prop_unweighted_2_raw wastewater,avg_detect_prop_unweighted_3_raw wastewater,avg_detect_prop_unweighted_454_raw wastewater,avg_detect_prop_unweighted_455_raw wastewater,avg_detect_prop_unweighted_456_raw wastewater,avg_detect_prop_unweighted_457_raw wastewater,avg_detect_prop_unweighted_458_raw wastewater,avg_detect_prop_unweighted_459_raw wastewater,avg_detect_prop_unweighted_497_raw wastewater,avg_detect_prop_unweighted_721_raw wastewater,avg_detect_prop_unweighted_728_raw wastewater,avg_detect_prop_unweighted_85_raw wastewater,avg_detect_prop_unweighted_post grit removal,avg_detect_prop_unweighted_primary effluent,avg_detect_prop_unweighted_primary sludge,avg_detect_prop_unweighted_raw wastewater,avg_detect_prop_unweighted_secondary effluent
2022-10-15,AK,32,2022-41,Region 10,6.06,83361.36,2026-05-06T19:11:09Z,1.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-10-01,AK,37,2022-39,Region 10,6.94,128292.84000000001,2026-05-06T19:11:09Z,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-10-08,AK,19,2022-40,Region 10,6.44,92555.68000000001,2026-05-06T19:11:09Z,1.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-10-22,AK,15,2022-42,Region 10,5.4,94716,2026-05-06T19:11:09Z,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-10-29,AK,23,2022-43,Region 10,5.48,102119.8,2026-05-06T19:11:09Z,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-11-05,AK,20,2022-44,Region 10,5.18,97192.34,2026-05-06T19:11:09Z,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-11-12,AK,27,2022-45,Region 10,5.54,109697.54,2026-05-06T19:11:09Z,1.63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-11-19,AK,24,2022-46,Region 10,5.83,131035.08,2026-05-06T19:11:09Z,1.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-11-26,AK,36,2022-47,Region 10,6.88,150892.16,2026-05-06T19:11:09Z,1.78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2022-12-03,AK,30,2022-48,Region 10,7.31,188539.52,2026-05-06T19:11:09Z,1.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
